id,type,text1,text2,text3,text4,notes
zhxaolova,SHIP,"Known for it's ability to destroy ships larger than it, this battleship is capable of eliminating advanced ships in one go. It's light armor allows it to maintain the speed of a cruiser.

While not many of these ships are produced, they are often far more powerful than the conventional ships themselves. The drives are this thing however, are much more exceptional than the two super battleship designs themselves. This allows them to go through storms with ease without getting damaged most of the time. In spite of this, it's main hull allows it to substain more damage than the average super dreadnought.

The weapon mounts are most likely enhanced to the point that even conventional weaponry will easily damage a extremely superior ship with ease, provided if it's not destroyed. On a another note, this seems to be the last reptech ship design ever recorded in this codex.",,,,
yorcarva,SHIP,"A carrier of destruction. This ship is capable of picking apart many ships due to it's enhanced fighters. However, it's armor is just as fragile as Orkovtrva's. Thus, it's recommended for newcomers to put it away from the rest of the fleet. It's unknown whether or not it's used in the fleets of the Xevlaoctven Navy.",,,,
baxzlova,SHIP,"Known for it's ability to move almost 3 times as fast as a normal ship, this destroyer is capable of destroying all but the most powerful ships in existance. While it's armor is not the greatest, it's improved main hull can take much more of a beating. For the same reason as the Eszvcorva-class, the weapons seems to be enhanced. Thus, attacking it is really dangerous. As it's such a rare ship, it's unknown if it's really used by the Xevlaoctven Navy or not.",,,,
revlogvortora,SHIP,"A frigate armored with durable light heblovium panels. These panels are lightweight, thus allowing the frigate to move fast. While it may not take as much punishment as a super battleship, it's still dangerous and may pose a threat to fleets that dare come near it.

It's capable of handling armaments no frigate could, causing it to have awesome firepower if used correctly.",,,,
orkovtrva,SHIP,"A missile cruiser. These ships also have durable light heblovium panels; the same as the young revlogvortora frigate designs. While it can easily destroy ships from a long range, it's just as easily vunerable as a cargo ship at such a short range. Howerver, the panels of this ship is greatly reinforced and can take a large amount of damage before the hull will be breached, allowing it to retreat in case of enemy ships attacking it. This is one of many of the advanced reptech ship designs.",,,,
stvforva,SHIP,"A Reptech Cargoship. This is one of the main means of transporting goods, fuel, and troops to resupply/repair and invade respectively. While fragile, they make up for speed. Some large ships are unable to catch up to it while small ships simply can't actually strip it's arm or to the point where it can be destroyed. 

It's dimensional cargo holds allows for it to store a lot more cargo than what conventional cargo ships can possibly hold. It's also capable of defending ships from  a large range with it's PD weapons, though it's very inefficient to do so.",,,,
azorva,SHIP,"A reptech shield ship. These type of ships are capable of withstanding all but the most brutal forms of attack with it's shield. In case of a flank, it's heavy veclotain armor platings allow it to withstand severe punishment even from flagships long enough to recover. This sadly, reduces amount of weapons that can be placed on the ship itself and thus, reducing the amount of firepower it can possibly dish out. In spite of this, the hull itself is reinforced with zentotium bulkheads, greatly increasing the amount of punishment the hull can take if the armor is breached.",,,,
eszvcorva,SHIP,"An advanced warship of the Xevlaoctven Navy. These often are protected by more advanced veclotain platings. Thus, it can take much more of a punishment than the Dxvotkta-Class Super Battleship. Still, while in combat, it's often a bit slower than it's older brother due to an increase in mass. Overall, not much is known about this ship. However, it's rumored to have something powerful that is enhancing the weapons mounted on it in some form or way.",,,,
dxvotkta,SHIP,"Heavily armed warship of the Xevlaoctven Navy. Heavily armored veclotain platings allows it to take a large beating. This is normally used in combat and also pontentally for trading. However, the material required for such a ship is far higher than what even standard planets can make, let alone make such a advanced material.",,,,
uklvoatovor,SHIP,"While not many of these ships exist, they are more than often far powerful than the standard ships in this universe. Ships fall due to it's firepower and if a person sees one, they must run or accept defeat.  However, like the Dxvotkta Super Battleship, this is awfully expensive to build due to very strong materals(similar of that to the Dxvotkta Super Battleship) from an another universe.


This ship has extoutium armor, allowing it to survive lots of heavy hits at the cost of extreme weight. In spite of this, it can move like a capital ship which is a bit fast for it's size.",,,,
